"filename", "language", "HTML", "JavaScript", "comment", "blank", "total"
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/InProject/Layers.js", "JavaScript", 0, 7, 1, 4, 12
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/index.html", "HTML", 0, 0, 6, 1, 7
"Total", "-", 0, 7, 7, 5, 19
