"filename", "language", "HTML", "XML", "Markdown", "CSS", "JavaScript", "comment", "blank", "total"
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Images/CreateProject/Create.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Images/CreateProject/OpenFolder.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Images/Management/Redo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Images/Management/Undo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Images/Tools/InsertImage.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Images/Tools/InsertText.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Images/Tools/Resize.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Images/Tools/Rotate.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Images/Zoom/ZoomIn.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Images/Zoom/ZoomOut.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/README.md", "Markdown", 0, 0, 2, 0, 0, 0, 1, 3
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/CreateProject/CreateNewProjectButton.js", "JavaScript", 0, 0, 0, 0, 33, 1, 13, 47
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/CreateProject/CreateProject.js", "JavaScript", 0, 0, 0, 0, 19, 0, 7, 26
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/CreateProject/CreateProjectFromScratchMenuToggle.js", "JavaScript", 0, 0, 0, 0, 37, 2, 14, 53
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/CreateProject/UploadFile.js", "JavaScript", 0, 0, 0, 0, 19, 1, 8, 28
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/InProject/ActivateProject.js", "JavaScript", 0, 0, 0, 0, 5, 2, 1, 8
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/InProject/Controls/Move.js", "JavaScript", 0, 0, 0, 0, 28, 3, 12, 43
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/InProject/Controls/Zoom.js", "JavaScript", 0, 0, 0, 0, 39, 0, 16, 55
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/InProject/InsertText.js", "JavaScript", 0, 0, 0, 0, 24, 2, 7, 33
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/InProject/Layers.js", "JavaScript", 0, 0, 0, 0, 56, 5, 21, 82
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/Info.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/Utils/Delay.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/Utils/Maths.js", "JavaScript", 0, 0, 0, 0, 15, 2, 6, 23
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/Utils/Mouse.js", "JavaScript", 0, 0, 0, 0, 16, 2, 3, 21
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Scripts/WarningMessage.js", "JavaScript", 0, 0, 0, 0, 8, 1, 2, 11
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Style/Body/ColorsAndLayers.css", "CSS", 0, 0, 0, 17, 0, 0, 5, 22
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Style/Body/ImageContent.css", "CSS", 0, 0, 0, 47, 0, 0, 15, 62
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Style/Body/Layers/Layers.css", "CSS", 0, 0, 0, 23, 0, 0, 9, 32
"/home/alvaro/Documents/AyalaTasks/Webs/EditingImages/Style/Body/Layers/LayersMenu.css", "CSS", 0, 0, 0, 24, 0, 0, 11, 35
